product_family,articulation,pose,product_weight_g,height_cm,complexity_score,stability_index,center_of_gravity,hair_length,dress_length,accessory_count,accessory_weight_g,fragility_score,attachment_needed,fragile_parts_count,movement_score,protection_score,packaging_complexity,overall_risk,recommended_head_strap,recommended_waist_strap,recommended_hand_strap,recommended_leg_strap,recommended_back_support,recommended_base_support,recommended_material,eco_score,relative_cost,recyclable
Careers,Standard,Sitting,122,29.0,5,7,Center,Very Long,Short,5,37.0,7,2,2,2,6,7,4.4,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Extra,Curvy,Walking,138,30.2,6,6,Center,Medium,Short,2,32.0,3,2,0,7,3,6,5.4,0,3,1,1,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Sitting,148,29.0,8,6,Center,Short,Knee,3,41.0,5,3,0,5,5,10,6.0,1,4,1,0,1,1,rPET,67.0,1.1,Yes
Made to Move,Made to Move,Sitting,122,29.2,7,5,Left,Medium,Long,2,8.0,2,0,1,4,2,8,4.1,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Walking,130,29.0,5,7,Center,Short,Long,4,72.0,6,3,1,5,6,6,5.6,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,121,29.0,7,5,Left,Short,Knee,0,0.0,0,0,0,4,0,8,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Fashionistas,Standard,Walking,114,29.0,3,8,Center,Long,Long,2,15.0,3,1,2,3,3,3,3.0,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Fashionistas,Standard,One Leg Bent,120,29.0,3,8,Center,Short,Knee,2,24.0,4,2,0,3,3,3,3.0,0,2,1,1,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Signature,Made to Move,Sitting,142,29.2,8,6,Center,Medium,Short,3,27.0,5,1,0,5,3,10,5.3,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand on Hip,123,29.0,5,7,Center,Short,Short,2,27.0,4,2,0,3,3,5,3.4,0,2,1,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Standing Straight,130,29.0,5,7,Center,Very Long,Long,4,31.0,8,2,3,2,7,6,4.6,2,3,1,0,1,0,rPET,72.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,110,29.0,3,8,Center,Medium,Knee,2,37.0,2,1,0,2,2,3,2.2,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Signature,Made to Move,One Hand on Hip,141,29.0,8,6,Center,Very Long,Knee,4,49.0,6,3,2,6,7,10,7.2,2,4,1,0,1,0,Virgin PET,50.0,1.0,Yes
Dreamtopia,Standard,Walking,125,30.2,7,5,Back,Medium,Short,3,13.0,5,0,0,8,2,8,5.9,0,3,0,2,0,1,rPET,75.0,1.1,Yes
Fashionistas,Standard,Sitting,118,29.0,3,8,Center,Short,Short,0,0.0,0,0,0,0,0,3,0.6,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Standing Straight,119,29.0,7,5,Left,Long,Long,5,54.0,9,4,2,3,8,10,6.2,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Made to Move,Made to Move,One Hand on Hip,128,29.0,7,5,Left,Very Long,Short,2,35.0,2,2,2,5,5,8,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,120,29.0,7,5,Left,Long,Knee,1,12.0,1,1,1,4,1,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Fashionistas,Standard,Arms Open,120,29.2,3,8,Center,Long,Short,1,25.0,1,1,1,3,2,3,2.6,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Dreamtopia,Standard,One Hand Up,125,30.0,7,5,Back,Medium,Short,3,48.0,6,3,0,6,5,8,6.0,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Sitting,135,30.0,7,5,Back,Medium,Long,4,28.0,5,1,1,5,4,8,5.2,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Standing Straight,124,30.0,7,5,Back,Medium,Short,2,12.0,4,1,0,5,1,7,4.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Two Hands Up,120,29.2,5,7,Center,Long,Short,5,44.0,10,2,1,4,6,7,5.3,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,115,29.2,7,5,Left,Long,Short,0,0.0,0,0,1,5,1,8,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Standing Straight,130,29.2,5,7,Center,Short,Short,2,19.0,3,1,0,2,1,5,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Extra,Curvy,Standing Straight,128,30.0,6,6,Center,Medium,Long,0,0.0,0,0,1,4,1,6,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,Sitting,119,29.0,5,7,Center,Short,Long,5,35.0,8,1,1,1,4,7,3.2,1,2,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Walking,123,29.2,5,7,Center,Long,Short,0,0.0,0,0,1,5,1,5,3.6,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,Walking,139,30.0,6,6,Center,Very Long,Long,4,67.0,9,4,3,7,9,7,7.7,2,4,2,1,1,0,Virgin PET,46.0,1.0,Yes
Careers,Standard,One Hand Up,116,29.2,5,7,Center,Medium,Knee,5,108.0,9,5,0,2,6,7,4.4,1,2,2,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Sitting,127,29.0,7,5,Left,Medium,Short,3,61.0,5,3,0,4,5,9,5.4,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,112,29.0,3,8,Center,Long,Short,5,53.0,10,2,1,2,6,5,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,One Leg Bent,128,29.2,5,7,Center,Long,Short,5,38.0,8,2,1,4,5,7,5.0,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,111,29.0,3,8,Center,Long,Knee,3,16.0,5,0,1,2,3,4,2.8,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Fashionistas,Standard,One Leg Bent,119,29.2,3,8,Center,Medium,Knee,2,46.0,4,2,0,2,4,3,2.9,1,2,1,1,0,0,Recycled Cardboard + rPET,90.0,0.85,Yes
Made to Move,Made to Move,One Leg Bent,128,29.0,7,5,Left,Short,Short,3,15.0,5,0,0,6,2,9,5.2,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Arms Open,120,29.2,3,8,Center,Long,Long,4,39.0,5,3,2,3,6,4,4.2,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,One Hand Up,129,30.0,7,5,Back,Medium,Long,3,28.0,3,2,1,6,4,8,5.7,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,One Hand on Hip,124,29.0,5,7,Center,Long,Short,0,0.0,0,0,1,3,1,5,2.7,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Dreamtopia,Standard,One Hand on Hip,121,30.2,7,5,Back,Short,Knee,0,0.0,0,0,0,6,0,7,4.1,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Sitting,128,30.0,7,5,Back,Medium,Short,4,36.0,6,2,0,5,4,8,5.2,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Sitting,144,29.0,8,6,Center,Long,Long,0,0.0,0,0,2,5,2,9,4.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,One Hand Up,139,29.0,8,6,Center,Long,Knee,5,51.0,7,4,1,5,7,10,6.7,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Dreamtopia,Standard,One Hand on Hip,128,30.0,7,5,Back,Very Long,Long,1,10.0,1,1,3,6,3,7,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,Walking,127,30.2,6,6,Center,Very Long,Short,5,45.0,8,3,2,7,7,8,7.2,2,4,1,1,1,0,Virgin PET,48.0,1.0,Yes
Extra,Curvy,One Hand on Hip,125,30.0,6,6,Center,Medium,Short,5,41.0,6,3,0,5,5,8,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,120,29.2,3,8,Center,Long,Knee,4,60.0,9,3,1,3,6,4,4.2,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Sitting,120,29.2,3,8,Center,Long,Long,0,0.0,0,0,2,1,2,3,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,One Leg Bent,119,29.0,7,5,Left,Short,Short,0,0.0,0,0,0,5,0,8,3.8,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,121,29.0,7,5,Left,Medium,Knee,5,71.0,7,2,0,4,5,10,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Sitting,131,30.0,6,6,Center,Medium,Knee,3,26.0,6,1,0,4,3,7,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Hand Up,123,30.0,7,5,Back,Very Long,Knee,3,40.0,4,2,2,6,6,8,6.4,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,Arms Open,139,30.2,6,6,Center,Medium,Short,3,27.0,7,1,0,6,3,7,5.2,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,One Hand on Hip,125,30.0,6,6,Center,Long,Knee,3,23.0,6,1,1,5,4,7,5.0,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Walking,134,30.0,6,6,Center,Medium,Knee,4,31.0,9,1,0,7,3,7,5.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,120,29.0,3,8,Center,Medium,Short,0,0.0,0,0,0,3,0,3,2.0,0,1,0,1,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Dreamtopia,Standard,Arms Open,133,30.2,7,5,Back,Medium,Short,5,66.0,5,3,0,7,5,9,6.7,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Signature,Made to Move,One Leg Bent,145,29.2,8,6,Center,Very Long,Short,5,76.0,7,5,2,7,8,10,8.0,2,4,2,1,1,1,Virgin PET,41.0,1.0,Yes
Made to Move,Made to Move,One Leg Bent,120,29.0,7,5,Left,Long,Knee,3,26.0,3,1,1,6,3,9,5.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Sitting,137,29.2,8,6,Center,Very Long,Short,4,60.0,4,3,2,4,6,10,5.9,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,One Hand Up,117,29.0,3,8,Center,Long,Knee,3,40.0,3,1,1,1,4,4,2.6,1,2,0,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Made to Move,Made to Move,Two Hands Up,126,29.0,7,5,Left,Long,Long,4,37.0,6,2,2,6,6,9,6.6,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Sitting,122,30.2,7,5,Back,Medium,Short,1,16.0,2,1,0,5,1,7,4.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,One Hand on Hip,118,29.0,7,5,Left,Very Long,Knee,1,9.0,2,1,2,4,3,8,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Leg Bent,110,29.0,3,8,Center,Medium,Short,5,70.0,7,3,0,2,5,5,3.6,1,2,1,1,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Arms Open,126,30.0,6,6,Center,Medium,Short,1,5.0,1,0,0,6,0,6,3.9,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,Arms Open,122,29.0,5,7,Center,Medium,Short,2,25.0,4,1,0,4,2,5,3.5,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Fashionistas,Standard,One Hand Up,118,29.0,3,8,Center,Long,Long,4,60.0,4,2,2,1,6,4,3.4,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Arms Open,131,29.0,8,6,Center,Long,Long,0,0.0,0,0,2,6,2,9,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Standing Straight,119,29.2,3,8,Center,Long,Long,4,18.0,5,0,2,0,4,4,2.2,1,1,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Fashionistas,Standard,One Hand Up,120,29.0,3,8,Center,Long,Long,1,18.0,2,1,2,2,3,3,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Made to Move,Made to Move,Standing Straight,129,29.2,7,5,Left,Medium,Long,1,8.0,1,1,1,4,1,8,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,One Hand on Hip,125,29.0,5,7,Center,Short,Short,3,44.0,6,2,0,3,5,6,4.3,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,135,30.0,7,5,Back,Medium,Short,2,46.0,3,2,0,7,4,7,6.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,115,29.2,3,8,Center,Long,Short,4,50.0,6,3,1,2,6,4,3.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,133,30.0,7,5,Back,Very Long,Long,4,47.0,9,3,3,6,8,8,7.1,2,4,1,0,1,0,Virgin PET,50.0,1.0,Yes
Made to Move,Made to Move,Two Hands Up,126,29.0,7,5,Left,Medium,Knee,5,100.0,7,5,0,6,6,10,6.8,1,4,2,0,1,0,Virgin PET,50.0,1.0,Yes
Fashionistas,Standard,Two Hands Up,111,29.0,3,8,Center,Medium,Long,1,14.0,2,1,1,2,2,3,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Extra,Curvy,Standing Straight,137,30.0,6,6,Center,Long,Knee,4,32.0,6,3,1,4,5,7,5.0,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,124,29.0,7,5,Left,Medium,Knee,4,56.0,6,3,0,6,5,9,6.2,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Careers,Standard,One Leg Bent,125,29.0,5,7,Center,Short,Short,4,57.0,6,3,0,4,5,6,4.8,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Extra,Curvy,One Hand on Hip,137,30.0,6,6,Center,Long,Long,4,68.0,7,4,2,5,8,7,6.4,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Fashionistas,Standard,One Hand on Hip,120,29.0,3,8,Center,Long,Long,5,41.0,9,3,2,2,7,5,4.4,2,3,1,0,1,0,rPET,72.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,126,30.0,7,5,Back,Short,Knee,3,51.0,5,3,0,7,5,8,6.5,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Careers,Standard,Walking,119,29.2,5,7,Center,Very Long,Short,0,0.0,0,0,2,4,2,5,3.5,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Standing Straight,124,29.2,5,7,Center,Medium,Knee,0,0.0,0,0,0,2,0,5,1.9,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Signature,Made to Move,One Leg Bent,130,29.2,8,6,Center,Long,Short,2,40.0,3,2,1,6,5,9,6.2,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Made to Move,Made to Move,Walking,118,29.2,7,5,Left,Short,Short,5,34.0,9,3,0,6,4,10,6.1,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Careers,Standard,Standing Straight,118,29.0,5,7,Center,Medium,Knee,3,36.0,4,2,0,1,3,6,2.7,0,2,1,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Fashionistas,Standard,One Hand Up,113,29.2,3,8,Center,Very Long,Knee,5,98.0,7,5,2,1,8,5,4.2,2,3,2,0,1,0,rPET,70.0,1.1,Yes
Extra,Curvy,One Hand Up,132,30.0,6,6,Center,Medium,Knee,5,56.0,8,3,0,5,5,8,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Sitting,132,30.2,7,5,Back,Long,Short,4,60.0,7,3,1,5,6,8,6.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,141,29.0,8,6,Center,Short,Knee,3,33.0,5,1,0,6,3,10,5.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,One Hand on Hip,126,30.0,6,6,Center,Long,Knee,3,30.0,3,1,1,5,3,7,4.7,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,One Hand on Hip,137,30.2,6,6,Center,Long,Knee,2,35.0,3,2,1,5,4,6,4.8,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,Two Hands Up,129,29.2,5,7,Center,Very Long,Knee,3,30.0,6,2,2,4,6,6,5.1,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,112,29.0,3,8,Center,Long,Short,5,58.0,9,3,1,2,6,5,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,One Hand Up,131,30.0,6,6,Center,Medium,Knee,4,21.0,7,1,0,5,3,7,4.7,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,One Leg Bent,133,29.2,8,6,Center,Long,Short,2,6.0,4,0,1,6,2,9,5.2,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Leg Bent,116,29.2,5,7,Center,Short,Short,2,22.0,4,2,0,3,3,5,3.4,0,2,1,1,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Walking,140,30.0,6,6,Center,Long,Short,4,20.0,5,1,1,8,4,7,6.4,1,4,0,2,1,1,Virgin PET,45.0,1.0,Yes
Dreamtopia,Standard,Arms Open,129,30.0,7,5,Back,Medium,Long,3,28.0,5,2,1,7,5,8,6.5,1,3,1,0,1,0,Virgin PET,54.0,1.0,Yes
Extra,Curvy,One Hand on Hip,127,30.0,6,6,Center,Medium,Knee,4,24.0,4,1,0,5,2,7,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Walking,115,29.0,3,8,Center,Medium,Knee,4,26.0,5,1,0,3,3,4,3.2,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Leg Bent,124,30.2,7,5,Back,Long,Knee,5,62.0,10,4,1,7,7,9,7.4,2,4,2,1,1,0,Virgin PET,46.0,1.0,Yes
Dreamtopia,Standard,Two Hands Up,130,30.0,7,5,Back,Long,Knee,3,70.0,4,2,1,7,5,8,6.5,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,Walking,115,29.2,3,8,Center,Short,Knee,3,32.0,3,1,0,3,2,4,2.8,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Dreamtopia,Standard,One Hand Up,122,30.0,7,5,Back,Long,Knee,5,99.0,6,5,1,6,7,9,7.0,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Dreamtopia,Standard,Walking,123,30.2,7,5,Back,Long,Short,4,68.0,7,3,1,8,6,8,7.3,1,4,1,2,1,1,Virgin PET,43.0,1.0,Yes
Extra,Curvy,One Hand Up,131,30.0,6,6,Center,Long,Short,5,61.0,8,2,1,5,6,8,6.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Arms Open,110,29.0,3,8,Center,Long,Short,5,86.0,9,5,1,2,7,5,4.4,2,3,2,0,1,0,rPET,70.0,1.1,Yes
Careers,Standard,One Leg Bent,129,29.0,5,7,Center,Long,Knee,3,39.0,6,3,1,4,5,6,4.8,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Dreamtopia,Standard,Walking,120,30.0,7,5,Back,Medium,Knee,4,46.0,5,2,0,8,5,8,7.0,1,4,1,2,1,1,Virgin PET,43.0,1.0,Yes
Signature,Made to Move,Two Hands Up,133,29.0,8,6,Center,Long,Short,1,12.0,2,1,1,6,2,9,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Walking,132,29.0,8,6,Center,Medium,Knee,1,4.0,1,0,0,7,0,9,5.0,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,125,29.0,7,5,Left,Short,Short,3,56.0,4,2,0,6,4,9,5.9,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Hand Up,125,29.0,5,7,Center,Medium,Long,0,0.0,0,0,1,3,1,5,2.7,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Walking,122,29.2,7,5,Left,Long,Knee,4,35.0,7,1,1,7,4,9,6.4,1,4,0,1,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,Standing Straight,110,29.0,3,8,Center,Medium,Knee,3,35.0,5,2,0,0,4,4,2.2,1,1,1,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Extra,Curvy,Sitting,125,30.0,6,6,Center,Long,Knee,0,0.0,0,0,1,4,1,6,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,Two Hands Up,147,29.2,8,6,Center,Long,Short,3,26.0,4,1,1,7,3,10,6.2,0,4,0,0,1,1,Virgin PET,51.0,1.0,Yes
Fashionistas,Standard,One Hand Up,120,29.2,3,8,Center,Medium,Long,2,28.0,2,1,1,2,3,3,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,Standing Straight,135,29.0,8,6,Center,Long,Knee,4,30.0,6,2,1,4,5,10,5.6,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Signature,Made to Move,Walking,144,29.2,8,6,Center,Medium,Long,0,0.0,0,0,1,8,1,9,5.8,0,2,0,2,0,1,rPET,77.0,1.1,Yes
Signature,Made to Move,Walking,138,29.2,8,6,Center,Medium,Knee,2,34.0,3,2,0,7,3,9,6.0,0,4,1,1,1,0,rPET,72.0,1.1,Yes
Made to Move,Made to Move,Arms Open,121,29.2,7,5,Left,Long,Short,1,9.0,2,1,1,6,2,8,5.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Arms Open,122,30.0,7,5,Back,Short,Knee,1,7.0,1,0,0,7,0,7,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Arms Open,128,30.0,7,5,Back,Medium,Knee,2,14.0,2,0,0,7,1,7,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Standing Straight,115,29.2,3,8,Center,Medium,Knee,3,61.0,3,2,0,0,4,4,2.2,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Extra,Curvy,Standing Straight,135,30.0,6,6,Center,Medium,Long,2,14.0,5,0,1,4,3,6,4.0,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,One Hand on Hip,119,29.2,5,7,Center,Very Long,Knee,0,0.0,0,0,2,2,2,5,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Careers,Standard,One Hand Up,120,29.0,5,7,Center,Long,Knee,3,71.0,6,3,1,3,6,6,4.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Standing Straight,150,29.2,8,6,Center,Short,Short,5,54.0,10,3,0,5,5,10,6.0,1,4,1,0,1,1,rPET,67.0,1.1,Yes
Fashionistas,Standard,One Hand Up,116,29.2,3,8,Center,Medium,Short,5,78.0,8,4,0,1,6,5,3.6,1,2,2,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Arms Open,131,30.0,7,5,Back,Medium,Short,0,0.0,0,0,0,7,0,7,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand on Hip,120,29.2,3,8,Center,Medium,Short,4,37.0,7,2,0,2,4,4,3.1,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,Sitting,122,29.0,7,5,Left,Very Long,Long,0,0.0,0,0,3,4,3,8,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Arms Open,149,29.0,8,6,Center,Short,Long,5,60.0,6,3,1,7,6,10,7.2,1,4,1,0,1,1,Virgin PET,47.0,1.0,Yes
Dreamtopia,Standard,One Leg Bent,135,30.0,7,5,Back,Long,Knee,4,29.0,5,1,1,7,4,8,6.2,1,4,0,1,1,0,Virgin PET,52.0,1.0,Yes
Fashionistas,Standard,One Hand on Hip,112,29.0,3,8,Center,Long,Knee,1,10.0,1,1,1,1,1,3,1.4,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Fashionistas,Standard,One Leg Bent,114,29.2,3,8,Center,Long,Long,5,68.0,8,4,2,2,8,5,4.7,2,3,2,1,1,0,rPET,68.0,1.1,Yes
Extra,Curvy,Two Hands Up,131,30.2,6,6,Center,Short,Long,5,25.0,9,2,1,6,5,8,6.0,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Careers,Standard,One Hand Up,129,29.0,5,7,Center,Very Long,Knee,5,65.0,7,3,2,3,7,7,5.2,2,2,1,0,1,0,rPET,74.0,1.1,Yes
Made to Move,Made to Move,One Hand Up,125,29.0,7,5,Left,Long,Knee,0,0.0,0,0,1,5,1,8,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Standing Straight,129,29.0,5,7,Center,Medium,Knee,5,52.0,6,3,0,2,5,7,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Sitting,138,30.2,6,6,Center,Medium,Short,1,12.0,2,1,0,4,1,6,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,115,29.2,7,5,Left,Medium,Knee,0,0.0,0,0,0,3,0,8,3.0,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Fashionistas,Standard,One Hand Up,113,29.0,3,8,Center,Medium,Short,5,57.0,7,3,0,1,5,5,3.2,1,1,1,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,120,30.2,7,5,Back,Long,Long,2,24.0,3,2,2,7,5,7,6.3,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,Two Hands Up,135,30.0,6,6,Center,Long,Knee,1,22.0,3,1,1,6,3,6,5.0,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand Up,119,29.2,3,8,Center,Medium,Short,3,23.0,5,2,0,1,4,4,2.6,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Signature,Made to Move,One Hand on Hip,131,29.0,8,6,Center,Medium,Long,5,33.0,11,2,1,5,5,10,6.0,1,3,1,0,1,0,rPET,74.0,1.1,Yes
Dreamtopia,Standard,Standing Straight,134,30.0,7,5,Back,Medium,Knee,0,0.0,0,0,0,5,0,7,3.6,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Extra,Curvy,Two Hands Up,126,30.2,6,6,Center,Short,Long,3,31.0,7,2,1,6,5,7,5.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
